mean,mean_se,mean_ci_lower,mean_ci_upper,date,district,target
0.0,1732.0611998425459,-3394.777570710623,3394.777570710623,2023-12-02,West Jaintia Hills,state
0.0,1732.0614885159246,-3394.7781365000487,3394.7781365000487,2023-12-03,West Jaintia Hills,state
0.0,1732.0617771892548,-3394.778702289379,3394.778702289379,2023-12-04,West Jaintia Hills,state
0.0,1732.062065862537,-3394.7792680786156,3394.7792680786156,2023-12-05,West Jaintia Hills,state
0.0,1732.0623545357714,-3394.7798338677585,3394.7798338677585,2023-12-06,West Jaintia Hills,state
0.0,1732.0626432089573,-3394.780399656806,3394.780399656806,2023-12-07,West Jaintia Hills,state
0.0,1732.0629318820954,-3394.78096544576,3394.78096544576,2023-12-08,West Jaintia Hills,state
0.0,1732.0632205551851,-3394.7815312346193,3394.7815312346193,2023-12-09,West Jaintia Hills,state
0.0,1732.0635092282268,-3394.7820970233843,3394.7820970233843,2023-12-10,West Jaintia Hills,state
0.0,1732.0637979012206,-3394.782662812055,3394.782662812055,2023-12-11,West Jaintia Hills,state
0.0,1732.064086574166,-3394.7832286006314,3394.7832286006314,2023-12-12,West Jaintia Hills,state
0.0,1732.0643752470635,-3394.783794389114,3394.783794389114,2023-12-13,West Jaintia Hills,state
0.0,1732.0646639199126,-3394.7843601775016,3394.7843601775016,2023-12-14,West Jaintia Hills,state
0.0,1732.0649525927138,-3394.784925965795,3394.784925965795,2023-12-15,West Jaintia Hills,state
0.0,1732.065241265467,-3394.785491753995,3394.785491753995,2023-12-16,West Jaintia Hills,state
0.0,1732.0655299381717,-3394.786057542099,3394.786057542099,2023-12-17,West Jaintia Hills,state
0.0,1732.0658186108287,-3394.78662333011,3394.78662333011,2023-12-18,West Jaintia Hills,state
0.0,1732.0661072834373,-3394.7871891180266,3394.7871891180266,2023-12-19,West Jaintia Hills,state
0.0,1732.066395955998,-3394.7877549058485,3394.7877549058485,2023-12-20,West Jaintia Hills,state
0.0,1732.0666846285105,-3394.7883206935767,3394.7883206935767,2023-12-21,West Jaintia Hills,state
0.0,1732.066973300975,-3394.7888864812103,3394.7888864812103,2023-12-22,West Jaintia Hills,state
0.0,1732.0672619733912,-3394.7894522687493,3394.7894522687493,2023-12-23,West Jaintia Hills,state
0.0,1732.0675506457594,-3394.7900180561946,3394.7900180561946,2023-12-24,West Jaintia Hills,state
0.0,1732.0678393180795,-3394.790583843545,3394.790583843545,2023-12-25,West Jaintia Hills,state
