,mean,mean_se,mean_ci_lower,mean_ci_upper,date,district,state,target
0,0.0,1.0026680543470473e-06,-1.9651932749690622e-06,1.9651932749690622e-06,2023-12-02,West Jaintia Hills,Meghalaya,je_cases
1,0.0,1.4179867610158371e-06,-2.7792029821456456e-06,2.7792029821456456e-06,2023-12-03,West Jaintia Hills,Meghalaya,je_cases
2,0.0,1.7366720132553172e-06,-3.403814598939089e-06,3.403814598939089e-06,2023-12-04,West Jaintia Hills,Meghalaya,je_cases
3,0.0,2.0053361086940933e-06,-3.930386549938122e-06,3.930386549938122e-06,2023-12-05,West Jaintia Hills,Meghalaya,je_cases
4,0.0,2.2420339283874495e-06,-4.394305751756255e-06,4.394305751756255e-06,2023-12-06,West Jaintia Hills,Meghalaya,je_cases
5,0.0,2.4560251145394568e-06,-4.8137207696231965e-06,4.8137207696231965e-06,2023-12-07,West Jaintia Hills,Meghalaya,je_cases
6,0.0,2.6528103193512808e-06,-5.19941268374471e-06,5.19941268374471e-06,2023-12-08,West Jaintia Hills,Meghalaya,je_cases
7,0.0,2.8359735220316734e-06,-5.55840596429129e-06,5.55840596429129e-06,2023-12-09,West Jaintia Hills,Meghalaya,je_cases
8,0.0,3.0080041630411398e-06,-5.895579824907183e-06,5.895579824907183e-06,2023-12-10,West Jaintia Hills,Meghalaya,je_cases
9,0.0,3.1707147888261598e-06,-6.214486791347796e-06,6.214486791347796e-06,2023-12-11,West Jaintia Hills,Meghalaya,je_cases
10,0.0,3.32547372554483e-06,-6.517808733602103e-06,6.517808733602103e-06,2023-12-12,West Jaintia Hills,Meghalaya,je_cases
11,0.0,1.0026680543470473e-06,-1.9651932749690622e-06,1.9651932749690622e-06,2023-12-02,East Jaintia Hills,Meghalaya,je_cases
12,0.0,1.4179867610158371e-06,-2.7792029821456456e-06,2.7792029821456456e-06,2023-12-03,East Jaintia Hills,Meghalaya,je_cases
13,0.0,1.7366720132553172e-06,-3.403814598939089e-06,3.403814598939089e-06,2023-12-04,East Jaintia Hills,Meghalaya,je_cases
14,0.0,2.0053361086940933e-06,-3.930386549938122e-06,3.930386549938122e-06,2023-12-05,East Jaintia Hills,Meghalaya,je_cases
15,0.0,2.2420339283874495e-06,-4.394305751756255e-06,4.394305751756255e-06,2023-12-06,East Jaintia Hills,Meghalaya,je_cases
16,0.0,2.4560251145394568e-06,-4.8137207696231965e-06,4.8137207696231965e-06,2023-12-07,East Jaintia Hills,Meghalaya,je_cases
17,0.0,2.6528103193512808e-06,-5.19941268374471e-06,5.19941268374471e-06,2023-12-08,East Jaintia Hills,Meghalaya,je_cases
18,0.0,2.8359735220316734e-06,-5.55840596429129e-06,5.55840596429129e-06,2023-12-09,East Jaintia Hills,Meghalaya,je_cases
19,0.0,3.0080041630411398e-06,-5.895579824907183e-06,5.895579824907183e-06,2023-12-10,East Jaintia Hills,Meghalaya,je_cases
20,0.0,3.1707147888261598e-06,-6.214486791347796e-06,6.214486791347796e-06,2023-12-11,East Jaintia Hills,Meghalaya,je_cases
21,0.0,3.32547372554483e-06,-6.517808733602103e-06,6.517808733602103e-06,2023-12-12,East Jaintia Hills,Meghalaya,je_cases
22,0.0,1.0026680543470473e-06,-1.9651932749690622e-06,1.9651932749690622e-06,2023-12-02,East Khasi Hills,Meghalaya,je_cases
23,0.0,1.4179867610158371e-06,-2.7792029821456456e-06,2.7792029821456456e-06,2023-12-03,East Khasi Hills,Meghalaya,je_cases
24,0.0,1.7366720132553172e-06,-3.403814598939089e-06,3.403814598939089e-06,2023-12-04,East Khasi Hills,Meghalaya,je_cases
25,0.0,2.0053361086940933e-06,-3.930386549938122e-06,3.930386549938122e-06,2023-12-05,East Khasi Hills,Meghalaya,je_cases
26,0.0,2.2420339283874495e-06,-4.394305751756255e-06,4.394305751756255e-06,2023-12-06,East Khasi Hills,Meghalaya,je_cases
27,0.0,2.4560251145394568e-06,-4.8137207696231965e-06,4.8137207696231965e-06,2023-12-07,East Khasi Hills,Meghalaya,je_cases
