,mean,mean_se,mean_ci_lower,mean_ci_upper,date,district,state,target
0,0.0,1732.0611998425459,-3394.777570710623,3394.777570710623,2023-12-02,West Jaintia Hills,Meghalaya,mining_proximity
1,0.0,1732.0614885159246,-3394.7781365000487,3394.7781365000487,2023-12-03,West Jaintia Hills,Meghalaya,mining_proximity
2,0.0,1732.0617771892548,-3394.778702289379,3394.778702289379,2023-12-04,West Jaintia Hills,Meghalaya,mining_proximity
3,0.0,1732.062065862537,-3394.7792680786156,3394.7792680786156,2023-12-05,West Jaintia Hills,Meghalaya,mining_proximity
4,0.0,1732.0623545357714,-3394.7798338677585,3394.7798338677585,2023-12-06,West Jaintia Hills,Meghalaya,mining_proximity
5,0.0,1732.0626432089573,-3394.780399656806,3394.780399656806,2023-12-07,West Jaintia Hills,Meghalaya,mining_proximity
6,0.0,1732.0629318820954,-3394.78096544576,3394.78096544576,2023-12-08,West Jaintia Hills,Meghalaya,mining_proximity
7,0.0,1732.0632205551851,-3394.7815312346193,3394.7815312346193,2023-12-09,West Jaintia Hills,Meghalaya,mining_proximity
8,0.0,1732.0635092282268,-3394.7820970233843,3394.7820970233843,2023-12-10,West Jaintia Hills,Meghalaya,mining_proximity
9,0.0,1732.0637979012206,-3394.782662812055,3394.782662812055,2023-12-11,West Jaintia Hills,Meghalaya,mining_proximity
10,0.0,1732.064086574166,-3394.7832286006314,3394.7832286006314,2023-12-12,West Jaintia Hills,Meghalaya,mining_proximity
11,0.0,1732.0611998425459,-3394.777570710623,3394.777570710623,2023-12-02,East Jaintia Hills,Meghalaya,mining_proximity
12,0.0,1732.0614885159246,-3394.7781365000487,3394.7781365000487,2023-12-03,East Jaintia Hills,Meghalaya,mining_proximity
13,0.0,1732.0617771892548,-3394.778702289379,3394.778702289379,2023-12-04,East Jaintia Hills,Meghalaya,mining_proximity
14,0.0,1732.062065862537,-3394.7792680786156,3394.7792680786156,2023-12-05,East Jaintia Hills,Meghalaya,mining_proximity
15,0.0,1732.0623545357714,-3394.7798338677585,3394.7798338677585,2023-12-06,East Jaintia Hills,Meghalaya,mining_proximity
16,0.0,1732.0626432089573,-3394.780399656806,3394.780399656806,2023-12-07,East Jaintia Hills,Meghalaya,mining_proximity
17,0.0,1732.0629318820954,-3394.78096544576,3394.78096544576,2023-12-08,East Jaintia Hills,Meghalaya,mining_proximity
18,0.0,1732.0632205551851,-3394.7815312346193,3394.7815312346193,2023-12-09,East Jaintia Hills,Meghalaya,mining_proximity
19,0.0,1732.0635092282268,-3394.7820970233843,3394.7820970233843,2023-12-10,East Jaintia Hills,Meghalaya,mining_proximity
20,0.0,1732.0637979012206,-3394.782662812055,3394.782662812055,2023-12-11,East Jaintia Hills,Meghalaya,mining_proximity
21,0.0,1732.064086574166,-3394.7832286006314,3394.7832286006314,2023-12-12,East Jaintia Hills,Meghalaya,mining_proximity
22,0.0,1732.0611998425459,-3394.777570710623,3394.777570710623,2023-12-02,East Khasi Hills,Meghalaya,mining_proximity
23,0.0,1732.0614885159246,-3394.7781365000487,3394.7781365000487,2023-12-03,East Khasi Hills,Meghalaya,mining_proximity
24,0.0,1732.0617771892548,-3394.778702289379,3394.778702289379,2023-12-04,East Khasi Hills,Meghalaya,mining_proximity
